Versão:	V00004	Classificação nacional de profissões, versão 1994	
5	="2.1.1.1.05"	="Fisico teórico"	
5	="2.1.1.1.10"	="Físico - especialista em mecânica"	
5	="2.1.1.1.15"	="Físico - especialista em termodinâmica"	
5	="2.1.1.1.20"	="Físico - especialista em óptica"	
5	="2.1.1.1.25"	="Físico - especialista em acústica"	
5	="2.1.1.1.30"	="Físico - especialista em electricidade e magnetismo"	
5	="2.1.1.1.35"	="Físico - especialista em física nuclear"	
5	="2.1.1.1.40"	="Físico - especialista do estado sólido"	
5	="2.1.1.1.45"	="Físico - especialista em física atómica e molecular"	
5	="2.1.1.1.50"	="Físico - especialista em física dos fluídos"	
5	="2.1.1.1.55"	="Físico - especialista das partículas elementares"	
5	="2.1.1.1.60"	="Físico - especialista em física dos plasmas"	
5	="2.1.1.1.65"	="Físico - especialista em matéria condensada"	
5	="2.1.1.1.70"	="Astrónomo"	
5	="2.1.1.1.90"	="Outros físicos e astrónomos"	
4	="2.1.1.2"	="Meteorologistas"	
5	="2.1.1.2.05"	="Meteorologista"	
5	="2.1.1.2.90"	="Outros meteorologistas"	
4	="2.1.1.3"	="Químicos"	
5	="2.1.1.3.05"	="Químico"	
5	="2.1.1.3.10"	="Químico - especialista em química orgânica"	
5	="2.1.1.3.15"	="Químico - especialista em química inorgânica"	
5	="2.1.1.3.20"	="Químico - especialista em química física"	
5	="2.1.1.3.25"	="Químico - especialista em química analítica"	
5	="2.1.1.3.90"	="Outros químicos"	
4	="2.1.1.4"	="Geólogos e geofísicos"	
5	="2.1.1.4.05"	="Geólogo"	
5	="2.1.1.4.10"	="Geofísico"	
5	="2.1.1.4.90"	="Outros geólogos e geofísicos"	
4	="2.1.1.5"	="Oceanógrafos"	
5	="2.1.1.5.05"	="Oceanógrafo"	
5	="2.1.1.5.90"	="Outros ocenanógrafos"	
3	="2.1.2"	="Matemáticos, estaticistas e especialistas similares"	
4	="2.1.2.1"	="Matemáticos e especialistas similares"	
5	="2.1.2.1.05"	="Matemático"	
5	="2.1.2.1.10"	="Matemático - especialista em matemática aplicada"	
5	="2.1.2.1.15"	="Matemático - especialista em investigação operacional"	
5	="2.1.2.1.20"	="Actuário"	
5	="2.1.2.1.90"	="Outros matemáticos e especialistas similares"	
4	="2.1.2.2"	="Estaticistas"	
5	="2.1.2.2.05"	="Estaticista"	
5	="2.1.2.2.90"	="Outros estaticistas"	
3	="2.1.3"	="Especialistas da informática"	
4	="2.1.3.1"	="Analistas de sistemas e outros especialistas de informática"	
5	="2.1.3.1.05"	="Engenheiro de sistemas - informática"	
5	="2.1.3.1.10"	="Engenheiro técnico de informática"	
5	="2.1.3.1.15"	="Técnico de vendas - informática"	
5	="2.1.3.1.20"	="Analista de sistemas - informática"	
5	="2.1.3.1.90"	="Outros analistas de sistema e outros especialistas de informática"	
3	="2.1.4"	="Arquitectos, engenheiros e especialistas similares"	
4	="2.1.4.1"	="Arquitectos e urbanistas"	
5	="2.1.4.1.05"	="Arquitecto"	
5	="2.1.4.1.10"	="Urbanista"	
5	="2.1.4.1.15"	="Arquitecto paisagista"	
5	="2.1.4.1.90"	="Outros arquitectos e urbanistas"	
4	="2.1.4.2"	="Engenheiros civis e engenheiros técnicos civis"	
5	="2.1.4.2.00"	="Engenheiro civil"	
5	="2.1.4.2.02"	="Engenheiro civil - construção de edifícios"	
5	="2.1.4.2.05"	="Engenheiro civil - construção de estradas"	
5	="2.1.4.2.07"	="Engenheiro civil - construção de vias férreas"	
5	="2.1.4.2.10"	="Engenheiro civil - construção de aeródromos"	
5	="2.1.4.2.12"	="Engenheiro civil - construção de pontes"	
5	="2.1.4.2.15"	="Engenheiro civil - estruturas"	
5	="2.1.4.2.17"	="Engenheiro civil - instalações de higiene e salubridade"	
5	="2.1.4.2.20"	="Engenheiro civil - hidráulico"	
5	="2.1.4.2.22"	="Engenheiro civil - geotécnico"	
5	="2.1.4.2.25"	="Engenheiro civil - planeamento do território"	
5	="2.1.4.2.27"	="Engenheiro civil - sanitário"	
5	="2.1.4.2.30"	="Engenheiro técnico civil"	
5	="2.1.4.2.32"	="Engenheiro técnico civil - construção de edifícios"	
5	="2.1.4.2.35"	="Engenheiro técnico civil - vias de comunicação"	
